a52dec 0.8.0-2
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-online-accounts 3.56.0-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-video-effects 1:0.6.0-2
gnu-netcat 0.7.1-11
gnugo 3.8-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnustep-base 1.31.1-1
gnutls 3.8.10-1
go 2:1.25.1-2
go-tools 4:0.37.0-1
gobject-introspection-runtime 1.86.0-1
gocryptfs 2.6.1-1
google-chrome 139.0.7258.154-1
gperf 3.1-5
gperftools 2.17.2-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
gptfdisk 1.0.10-1
granatier 25.08.1-1
grantlee 5.3.1-2
grantlee-editor 25.08.1-1
grantleetheme 25.08.1-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
graphviz 13.1.2-1
grep 3.12-2
grex 1.4.5-1
groff 1.23.0-7
gromit-mpx-git 1.7.0.r7.ga982685-1
gromit-mpx-git-debug 1.7.0.r7.ga982685-1
grub 2:2.12.r359.g19c698d12-1
grub-tools 1.6.9-2
grub2-theme-endeavouros 20220602-1
gsettings-desktop-schemas 49.0-1
gsettings-system-schemas 49.0-1
gsfonts 20200910-5
gsimplecal 2.5.2-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.6-2
gst-plugin-gtk 1.26.6-2
gst-plugin-pipewire 1:1.4.8-2
gst-plugin-qml6 1.26.6-2
gst-plugins-bad 1.26.6-2
gst-plugins-bad-libs 1.26.6-2
gst-plugins-base 1.26.6-2
gst-plugins-base-libs 1.26.6-2
gst-plugins-good 1.26.6-2
gst-plugins-ugly 1.26.6-2
gstreamer 1.26.6-2
gtest 1.17.0-1
gthumb 3.12.8-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.20.1-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.50-1
gtk4 1:4.20.1-1
gtk4-layer-shell 1.2.0-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gtkspell3 3.0.10-3
gtksu-git 0.1.6.r5.g54fecf0-1
gts 0.7.6.121130-5
guile 3.0.10-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.58.0-1
gvfs-afc 1.58.0-1
gvfs-gphoto2 1.58.0-1
gvfs-mtp 1.58.0-1
gvfs-nfs 1.58.0-1
gvfs-smb 1.58.0-1
gvim 9.1.1734-1
gwenview 25.08.1-1
gzip 1.14-2
handbrake 1.10.2-2
harfbuzz 11.5.1-1
harfbuzz-icu 11.5.1-1
haruna 1.4.0-2
haskell-aeson 2.1.2.1-167
haskell-aeson-pretty 0.8.10-127
haskell-ansi-terminal 1.0.2-124
haskell-ansi-terminal-types 0.11.5-164
haskell-ansi-wl-pprint 1.0.2-179
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-315
haskell-asn1-parse 0.9.5-314
haskell-asn1-types 0.3.4-293
haskell-assoc 1.1.1-39
haskell-async 2.2.5-236
haskell-attoparsec 0.14.4-159
haskell-attoparsec-aeson 2.1.0.0-151
haskell-attoparsec-iso8601 1.1.1.0-4
haskell-auto-update 0.1.6-433
haskell-base-compat 0.14.0-1
haskell-base-compat-batteries 0.14.0-24
haskell-base-orphans 0.9.3-52
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-164
haskell-base64-bytestring 1.2.1.0-238
haskell-basement 0.0.16-3
haskell-bifunctors 5.6.2-42
haskell-bitvec 1.1.5.0-20
haskell-blaze-builder 0.4.4.1-10
haskell-blaze-html 0.9.2.0-87
haskell-blaze-markup 0.8.3.0-97
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-481
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-350
haskell-case-insensitive 1.2.1.0-341
haskell-cassava 0.5.4.1-22
haskell-cborg 0.2.10.0-63
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1.1-59
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-374
haskell-commonmark 0.2.6-40
haskell-commonmark-extensions 0.2.5.5-31
haskell-commonmark-pandoc 0.2.2.3-21
haskell-comonad 5.0.9-105
haskell-conduit 1.3.6.1-110
haskell-conduit-extra 1.3.8-52
haskell-constraints 0.14.2-43
haskell-contravariant 1.5.5-5
haskell-cookie 0.5.0-1
haskell-crypton 1.0.3-21
haskell-crypton-connection 0.4.4-14
haskell-crypton-x509 1.7.7-48
haskell-crypton-x509-store 1.6.11-24
haskell-crypton-x509-system 1.6.7-119
haskell-crypton-x509-validation 1.6.14-35
haskell-data-array-byte 0.1.0.1-72
haskell-data-default 0.7.1.3-7
haskell-data-default-class 0.1.2.2-1
haskell-data-default-instances-containers 0.1.0.3-3
haskell-data-default-instances-dlist 0.0.1.2-110
haskell-data-default-instances-old-locale 0.0.1.2-1
haskell-data-fix 0.3.4-109
haskell-dec 0.0.6-1
haskell-digest 0.0.2.1-1
haskell-distributive 0.6.2.1-372
haskell-djot 0.1.2.2-12
haskell-dlist 1.0-360
haskell-doclayout 0.4.0.1-118
haskell-doctemplates 0.11.0.1-52
haskell-easy-file 0.2.5-105
haskell-emojis 0.1.4.1-66
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.4-19
haskell-file-embed 0.0.16.0-1
haskell-foldable1-classes-compat 0.1.2-24
haskell-generically 0.1.1-72
haskell-generics-sop 0.5.1.3-4
haskell-ghc-bignum-orphans 0.1.1-3
haskell-glob 0.10.2-174
haskell-gridtables 0.1.1.0-1
haskell-haddock-library 1.11.0-159
haskell-half 0.3.3-51
haskell-hashable 1.4.6.0-6
haskell-hourglass 0.2.12-330
haskell-hslua 2.3.0-178
haskell-hslua-aeson 2.3.1.1-26
haskell-hslua-classes 2.3.1-8
haskell-hslua-core 2.3.2-12
haskell-hslua-list 1.1.4-7
haskell-hslua-marshalling 2.3.1-119
haskell-hslua-module-doclayout 1.1.1.1-32
haskell-hslua-module-path 1.1.1-80
haskell-hslua-module-system 1.1.2-32
haskell-hslua-module-text 1.1.0.1-146
