a52dec 0.8.0-2
mpfr 4.2.2-1
mpg123 1.33.2-1
mpv 1:0.40.0-6
mpvqt 1.1.1-1
msgpack-c 6.1.0-2
mspinball-bin v1-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.7-1
mupdf-tools 1.26.8-1
mypaint 2.0.1-6
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
nano 8.6-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
navi 2.24.0-1
nbd 3.26.1-2
ncdu 2.9.1-1
ncurses 6.5-4
ndctl 79-1
ndisc6 1.0.8-1
neochat 25.08.1-1
neofetch 7.1.0-2
neon 0.35.0-1
neovim 0.11.4-1
nerd-fonts-noto-sans-mono 3.2.1-1
net-snmp 5.9.4-7
net-tools 2.10-3
netavark 1.16.1-1
netctl 1.29-2
netpbm 10.86.47-1
netscanner 0.6.3-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
networkmanager-openvpn 1.12.3-1
networkmanager-qt 6.18.0-1
networkmanager-qt5 5.116.0-1
networkmanager-vpn-plugin-openvpn 1.12.3-1
nfs-utils 2.8.4-1
nfsidmap 2.8.4-1
nftables 1:1.1.5-1
nilfs-utils 2.2.11-1
ninja 1.12.1-2
niri 25.08-2
nitrogen 1.6.1-6
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nmap 7.97-1
node-gyp 11.4.2-1
nodejs-lts-iron 20.19.5-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.09.01-1
noto-fonts-emoji 1:2.051-1
npm 11.6.1-1
npth 1.8-1
nspr 4.37-1
nss 3.116-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-4
numactl 2.0.19-1
numlockx 1.2-6
oath-toolkit 2.6.13-1
obs-studio 31.1.2-2
obsidian 1.9.12-1
ocean-sound-theme 6.4.5-1
ocl-icd 2.3.3-1
oh-my-zsh-git r7426.ca5471fe4-1
oha 1.10.0-1
okular 25.08.1-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
openal 1.24.3-1
openbabel 3.1.1-12
opencolorio 2.4.2-3
openconnect 1:9.12-4
opencore-amr 0.1.6-2
opencv 4.12.0-8
opendesktop-fonts 1.4.2-7
openexr 3.4.0-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openldap 2.6.10-2
openmpi 5.0.8-4
openpmix 5.0.8-1
openresolv 3.17.0-1
openssh 10.0p1-5
openssl 3.5.3-1
openssl-1.0 1.0.2.u-7
openssl-1.0-debug 1.0.2.u-7
openssl-1.1 1.1.1.w-2
opentimelineio 0.17.0-3
openucx 1.19.0-2
openvpn 2.6.15-1
openxr 1.1.50-1
optipng 7.9.1-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
orca 49.1-1
osinfo-db 20250606-1
ostree 2025.6-1
otter-browser-debug 1.0.03-2
oxygen 6.4.5-1
oxygen-sounds 6.4.5-1
oxygen5 6.4.5-1
p11-kit 0.25.9-1
packagekit 1.3.1-1
packagekit-qt5 1.1.3-1
packagekit-qt6 1.1.3-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20250702-2
pacutils 0.15.0-1
pahole 1:1.30-2
palapeli 25.08.1-1
pam 1.7.1-1
pambase 20250719-1
pandoc-cli 3.3-3
pango 1:1.57.0-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
paper-icon-theme 1.5.0.832.aa3e8af-1
paprefs 1.2-3
parallel 20250922-1
parley 25.08.1-1
parole 4.20.0-1
parted 3.6-2
partitionmanager 25.08.1-1
paru 2.1.0-1
passim 0.1.10-1
passt 2025_09_19.623dbf6-1
patch 2.8-1
patchelf 0.18.0-3
patchutils 0.4.2-3
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.14.0-1
pcmanfm 1.4.0-1
pcre 8.45-4
pcre2 10.46-1
pcsclite 2.3.3-1
pcurses 5-5
peek 1.5.1-4
peg 0.1.19-1
perf 6.16-1
perl 5.42.0-1
perl-alien-build 2.84-3
perl-alien-libxml2 0.20-3
perl-capture-tiny 0.50-3
perl-clone 0.47-2
perl-common-sense 3.75-9
perl-dbi 1.647-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-ffi-checklib 0.31-7
perl-file-chdir 0.1011-6
perl-file-listing 6.16-5
perl-file-which 1.27-7
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-io-socket-ssl 2.094-2
perl-json 4.10-2
perl-json-xs 4.04-1
perl-libwww 6.80-1
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.23-5
perl-net-ssleay 1.94-3
perl-path-tiny 0.150-1
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-types-serialiser 1.01-5
perl-uri 5.32-2
perl-www-robotrules 6.02-15
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-3
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-5
perl-yaml-libyaml 0.904.0-2
phodav 3.0-4
phonon-qt5 4.12.0-8
phonon-qt5-debug 4.12.0-8
phonon-qt5-gstreamer 4.10.0-5
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
picmi 25.08.1-1
picom 12.5-3
pim-data-exporter 25.08.1-1
pim-sieve-editor 25.08.1-1
pimcommon 25.08.1-1
pinentry 1.3.2-2
pipewire 1:1.4.8-2
pipewire-audio 1:1.4.8-2
pipewire-media-session 1:0.4.3-1
pixman 0.46.4-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
pkgfile 25-1
plasma-activities 6.4.5-1
plasma-activities-stats 6.4.5-1
plasma-browser-integration 6.4.5-1
plasma-desktop 6.4.5-1
plasma-disks 6.4.5-1
plasma-firewall 6.4.5-1
plasma-framework5 5.116.0-1
plasma-integration 6.4.5-1
plasma-nm 6.4.5-1
plasma-pa 6.4.5-1
plasma-sdk 6.4.5-1
plasma-systemmonitor 6.4.5-1
plasma-thunderbolt 6.4.5-1
plasma-vault 6.4.5-1
plasma-welcome 6.4.5-1
plasma-workspace 6.4.5-2
plasma-workspace-wallpapers 6.4.5-1
plasma5-integration 6.4.5-1
plasma5-runners-symbols 1.1.0-2
plasma5-runners-symbols-debug 1.1.0-2
plasma5support 6.4.5-1
plasma6-runners-appmenu-git r17.195d08a-1
plasma6-runners-emojirunner 3.0.5-1
plasma6-runners-emojirunner-debug 3.0.5-1
plasmatube 25.08.1-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-11
plymouth-kcm 6.4.5-1
podman 5.6.1-1
podman-compose 1.5.0-1
podofo 0.10.4-2
polkit 126-2
polkit-gnome 0.105-11
polkit-kde-agent 6.4.5-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
poppler 25.09.1-1
poppler-data 0.4.12-2
poppler-glib 25.09.1-1
poppler-qt5 25.09.1-1
poppler-qt6 25.09.1-1
popt 1.19-2
portaudio 1:19.7.0-3
portmaster-stub-bin 1.0.0-1
portmidi 1:2.0.6-1
postgresql 17.5-5
postgresql-libs 17.5-5
potrace 1.16-4
powerdevil 6.4.5-1
powerline 2.8.4-3
powerline-fonts 2.8.4-3
poxml 25.08.1-1
ppp 2.5.2-1
pps-tools 1.0.3-2
pptpclient 1.10.0-3
presage 0.9.1-3
print-manager 1:6.4.5-1
prison 6.18.0-1
prison5 5.116.0-1
procps-ng 4.0.5-3
procs 0.14.10-1
projectm 3.1.12-5
protobuf 32.1-1
protobuf-c 1.5.2-6
prrte 3.0.11-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pulseaudio-jack 17.0+r43+g3e2bb8a1e-1
pulseaudio-qt 1.7.0-1
purpose 6.18.0-1
purpose5 5.116.0-1
pygtk 2.24.0-14
pygtk-debug 2.24.0-14
pyright 1.1.405-1
pystring 1.1.4-2
python 3.13.7-1
python-aaf2 1.7.1-3
python-annotated-types 0.7.0-2
python-appdirs 1.4.4-11
python-apsw 3.49.2.0-1
python-argcomplete 3.6.2-1
python-asttokens 3.0.0-1
python-async-timeout 5.0.1-1
python-atspi 2.58.0-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-automat 25.4.16-1
python-bcrypt 4.3.0-1
python-beautifulsoup4 4.13.5-1
python-black 25.9.0-2
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-build 1.3.0-1
python-cachecontrol 1:0.14.3-1
python-cairo 1.28.0-1
python-cairocffi 1.7.1-1
python-cattrs 25.2.0-1
python-certifi 2025.08.03-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.3-1
python-click 8.2.1-1
python-colorama 0.4.6-5
python-commonmark 0.9.1-12
python-configargparse 1.5.5-3
python-configobj 5.0.9-5
python-constantly 23.10.4-2
python-contextlib2 21.6.0-2
python-coverage 7.10.7-1
python-cryptography 46.0.1-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-dasbus 1.7-4
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-decorator 5.2.1-1
python-defusedxml 0.7.1-7
python-deprecated 1.2.18-1
python-distlib 0.4.0-1
python-distro 1.9.0-3
python-dnspython 1:2.8.0-1
python-docopt 0.6.2-14
python-docstring-to-markdown 0.17-1
python-docutils 1:0.21.2-3
python-dotenv 1.1.1-1
python-dotty-dict 1.3.1-5
python-evdev 1.9.2-1
python-ewmh 0.1.6-7
python-exceptiongroup 1.3.0-1
python-executing 2.2.1-1
python-fastjsonschema 2.21.2-1
python-faust-cchardet 2.1.19-4
python-feedparser 6.0.12-1
python-filelock 3.19.1-1
python-flit-core 3.12.0-1
python-future 1.0.0-2
python-gobject 3.54.2-2
python-greenlet 3.2.4-1
python-halo 0.0.31-7
python-hid 1.0.6-3
python-hjson 3.1.0-4
python-html2text 2025.4.15-1
python-html5-parser 0.4.12-4
python-html5lib 1.1-15
python-httplib2 0.31.0-1
python-hyperlink 21.0.0-7
python-hypothesis 6.139.2-1
python-i3ipc 2.2.1-8
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-importlib-metadata 8.7.0-1
python-incremental 22.10.0-7
python-inflate64 1.0.3-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-ipython-pygments-lexers 1.1.1-1
python-isodate 0.7.2-2
python-isort 6.0.1-1
python-jaconv 0.4.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-legacy-cgi 2.6.3-2
python-lockfile 0.12.2-14
python-log_symbols 0.0.14-7
python-lsp-jsonrpc 1.1.2-5
python-lsp-server 1.12.2-1
python-lsprotocol 2023.0.1-3
python-lxml 6.0.2-1
python-lxml-html-clean 0.4.2-1
python-markdown 3.9.0-1
python-markdown-it-py 4.0.0-1
python-markupsafe 3.0.2-1
python-matplotlib-inline 0.1.7-2
python-mdurl 0.1.2-8
python-mechanize 1:0.4.10-2
python-milc 1.9.0-2
python-more-itertools 10.8.0-1
python-msgpack 1.0.5-3
python-multidict 6.6.4-1
python-multivolumefile 0.2.3-9
python-mypy_extensions 1.1.0-1
python-netifaces 0.11.0-7
python-nspektr 0.5.0-3
python-numpy 2.3.3-1
python-opengl 3.1.9-1
python-ordered-set 4.1.0-7
python-orjson 3.11.3-1
python-packaging 25.0-1
python-paramiko 3.5.1-1
python-parso 1:0.8.5-1
python-pathspec 0.12.1-3
python-pdftotext 2.2.2-9
python-pexpect 4.9.0-4
python-pillow 11.3.0-4
python-pip 25.2-1
python-platformdirs 4.4.0-1
python-pluggy 1.6.0-1
python-ply 3.11-15
python-progress 1.6.1-1
python-prompt_toolkit 3.0.52-1
python-protobuf 32.1-1
python-psutil 7.1.0-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-py7zr 1.0.0-1
python-pyaml 24.12.0-1
python-pybcj 1.0.6-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.23.0-1
python-pycryptodomex 3.23.0-1
python-pycups 2.0.4-3
python-pycurl 7.45.6-1
python-pydantic 2.11.9-1
python-pydantic-core 3:2.33.2-1
python-pydbus 0.6.0-12
python-pygame 2.6.1-2
python-pygdbmi 0.11.0.0-5
python-pygls 1.3.1-3
python-pygments 2.19.2-1
python-pykakasi 2.3.0-2
python-pynacl 1.6.0-1
python-pynvim 0.6.0-1
python-pyopenssl 25.3.0-1
python-pyparsing 3.2.5-1
python-pyppmd 1.2.0-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt6 6.9.1-2
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pyrsistent 0.20.0-7
python-pyrsistent-debug 0.20.0-7
python-pyserial 3.5-7
python-pysocks 1.7.1-10
python-pytest 1:8.4.2-1
python-pytest-asyncio 0.26.0-1
python-pytest-cov 6.1.1-1
python-pytokens 0.1.10-1
python-pytoolconfig 1.3.1-3
python-pyusb 1.3.1-1
python-pywayland 0.4.18-2
python-pywlroots 0.17.0-4
python-pyxdg 0.28-4
python-pyzstd 0.17.0-1
python-qtpy 2.4.3-3
python-referencing 0.36.2-1
python-regex 2025.9.18-1
python-reportlab 4.2.2-5
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-resolvelib 1.2.0-2
python-retrying 1.3.4-4
python-rich 14.1.0-1
python-rope 1.13.0-2
python-rpds-py 0.27.1-1
python-ruff 0.13.1-1
python-saml 1.16.0-3
python-sentry_sdk 2.38.0-1
python-setproctitle 1.3.7-1
python-setuptools 1:80.9.0-2
python-sgmllib3k 1.0.0-7
python-shtab 1.7.2-1
python-six 1.17.0-1
python-sortedcontainers 2.4.0-7
python-soupsieve 2.8-1
python-spinners 0.0.24-6
python-stack-data 0.6.3-4
python-stevedore 5.4.0-1
python-tenacity 9.1.2-1
python-termcolor 3.1.0-1
python-testpath 0.6.0-4
python-texttable 1.7.0-3
python-tinycss2 1.4.0-2
python-toml 0.10.2-12
python-tomli 2.2.1-1
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-trove-classifiers 2025.9.11.17-1
python-twisted 24.3.0-4
python-typeguard 4.4.4-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.15.0-1
python-uc-micro-py 1.0.3-3
python-ujson 5.10.0-2
python-unrardll 0.1.7-4
python-urllib3 2.5.0-1
python-userpath 1.9.2-3
python-validate-pyproject 0.24.1-1
python-virtualenv 20.34.0-1
python-virtualenv-clone 0.5.7-6
python-virtualenvwrapper 6.1.1-1
python-wcwidth 0.2.14-1
python-webencodings 0.5.1-12
python-websockets 15.0.1-1
python-wheel 0.45.1-1
python-wrapt 1.17.3-1
python-wxpython 1:4.2.3-3
python-xcffib 1.6.0-1
python-xkbcommon 1.5.1-2
python-xlib 0.33-4
python-xmlsec 1.3.14-3
python-xxhash 3.5.0-1
python-yaml 6.0.2-2
python-ytmusicapi 1.11.1-1
python-zeroconf 0.147.0-2
python-zipp 3.21.0-2
python-zope-interface 7.2-1
python-zstandard 0.25.0-1
python2 2.7.18-5
python2-cairo 1.19.1-2
python2-gobject2 2.28.7-7
python2-numpy 1.16.6-3
python2-numpy-debug 1.16.6-3
qca-qt5 2.3.10-3
qca-qt6 2.3.10-3
qcoro 0.12.0-1
qcoro-qt5 0.10.0-1
qcustomplot 2.1.1-1
qgpgme 2.0.0-2
qgpgme-qt5 2.0.0-3
qgpgme-qt5-debug 2.0.0-3
qhexedit2 0.8.9-2
qhull 2020.2-5
qmk 1.1.8-1
qownnotes-debug 24.12.7-1
qpdf 12.2.0-1
qqc2-breeze-style 6.4.5-1
qqc2-desktop-style 6.18.0-1
qqc2-desktop-style5 5.116.1-1
qrencode 4.1.1-4
qscintilla-qt5 2.14.1-4
qt5-base 5.15.17+kde+r123-2
qt5-charts 5.15.17-1
qt5-declarative 5.15.17+kde+r21-1
qt5-doc 5.15.17-1
qt5-feedback 0.0.0.20150918-5
qt5-graphicaleffects 5.15.17-1
qt5-imageformats 5.15.17+kde+r2-1
qt5-location 5.15.17+kde+r7-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-networkauth 5.15.17-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-remoteobjects 5.15.17-1
qt5-script 5.15.19-2
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-2
qt5-webkit-debug 5.212.0alpha4-22
qt5-websockets 5.15.17+kde+r2-1
qt5-webview 5.15.16-2
qt5-webview-debug 5.15.16-2
qt5-x11extras 5.15.17-1
qt5-xmlpatterns 5.15.17-1
qt6-5compat 6.9.2-1
qt6-base 6.9.2-1
qt6-charts 6.9.2-1
qt6-connectivity 6.9.2-1
qt6-declarative 6.9.2-1
qt6-httpserver 6.9.2-1
qt6-imageformats 6.9.2-1
qt6-location 6.9.2-1
qt6-multimedia 6.9.2-3
qt6-multimedia-ffmpeg 6.9.2-3
qt6-multimedia-gstreamer 6.9.2-3
qt6-networkauth 6.9.2-1
qt6-positioning 6.9.2-1
qt6-quick3d 6.9.2-1
qt6-quicktimeline 6.9.2-1
qt6-scxml 6.9.2-1
qt6-sensors 6.9.2-1
qt6-shadertools 6.9.2-1
qt6-speech 6.9.2-1
qt6-svg 6.9.2-1
qt6-tools 6.9.2-1
qt6-translations 6.9.2-1
qt6-virtualkeyboard 6.9.2-1
qt6-wayland 6.9.2-1
qt6-webchannel 6.9.2-1
qt6-webengine 6.9.2-2
qt6-websockets 6.9.2-1
qt6-webview 6.9.2-1
qterminal 2.2.1-1
qtermwidget 2.2.0-1
qtile 0.33.0-1
qtkeychain-qt5 0.15.0-3
qtkeychain-qt6 0.15.0-3
quazip-qt5 1.5-1
qutebrowser 3.5.1-2
qxmpp-qt5 1.10.3-1
qxmpp-qt5-debug 1.10.3-1
r8168 8.055.00-1
ragel 6.10-4
raptor 2.0.16-8
rasqal 1:0.9.33-7
rav1e 0.7.1-1
rdesktop 1.9.0-2
re2 1:20240702-7
readline 8.3.001-1
rebuild-detector 4.4.5-1
recastnavigation 1.6.0-2
redland 1:1.0.17-9
reflector 2023-3
reflector-simple 2024.8.1-1
reiserfsprogs 3.6.27-5
resp-app 2022.5-1
rest-debug 0.8.1+r4+ge5ee6ef-3
rhash 1.4.4-1
rio 0.2.30-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
ristretto 0.13.4-1
rnnoise 1:0.2-1
rocs 25.08.1-1
rofi 2.0.0-1
rofi-bluetooth-git r33.9d91c04-2
rofi-calc 2.4.0-1
rofi-emoji 4.1.0-2
rofimoji 6.7.0-1
rp-pppoe 4.0-5
rpcbind 1.2.8-1
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
ruby 3.4.5-1
ruby-abbrev 0.1.2-1
ruby-base64 0.2.0-1
ruby-bigdecimal 3.1.9-1
ruby-bundled-gems 3.4.5-1
ruby-bundler 2.7.2-1
ruby-csv 3.3.2-1
ruby-debug 1.11.0-1
ruby-default-gems 3.4.5-1
ruby-drb 2.2.1-1
ruby-erb 4.0.4-9
ruby-getoptlong 0.2.1-1
ruby-irb 1.14.3-4
ruby-matrix 0.4.2-4
ruby-minitest 5.25.5-2
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.8-1
ruby-net-imap 0.5.8-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.0-5
ruby-nkf 0.2.0-2
ruby-observer 0.1.2-3
ruby-power_assert 2.0.5-3
ruby-prime 0.1.3-1
ruby-racc 1.8.1-2
ruby-rake 13.2.1-5
ruby-rbs 3.8.0-2
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.11-1
ruby-resolv-replace 0.1.1-2
ruby-rexml 3.4.1-3
ruby-rinda 0.2.0-2
ruby-rss 0.3.1-4
ruby-stdlib 3.4.5-1
ruby-syslog 0.3.0-2
ruby-test-unit 3.6.8-1
ruby-typeprof 0.30.1-2
ruby2.7 2.7.8-1
rubygems 3.6.9-1
ruff 0.13.1-1
ruff-lsp 0.0.62-1
run-parts 5.23.1-1
runc 1.3.1-1
rustup 1.28.2-3
s-nail 14.9.25-1
samba 2:4.23.0-2
sane 1.4.0-1
sbc 2.1-1
scite 5.5.7-1
scour 0.38.2-5
scrcpy 3.3.2-1
screenkey 1.5-6
scrot 1.12.1-1
sd 1.0.0-1
sddm 0.21.0-6
sddm-kcm 6.4.5-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.56-2
sdl2_gfx 1:1.0.4-4
sdl2_image 2.8.8-1
sdl2_mixer 2.8.1-2
sdl2_pango 2.1.5-1
sdl2_ttf 2.24.0-2
sdl3 3.2.22-1
sdl_gfx 2.0.27-1
sdl_image 1.2.12-9
sdl_mixer 1.2.12-13
sdl_pango 0.1.2-10
sdl_pango-debug 0.1.2-10
sdl_ttf 2.0.11-8
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
setconf 0.7.7-4
sg3_utils 1.48-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
shfmt 3.12.0-1
shotwell 2:0.32.13-1
signon-kwallet-extension 25.08.1-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
silicon 0.5.3-1
simple-scan 49.0-1
skanlite 25.08.1-1
skanpage 25.08.1-1
skladnik 25.08.1-1
skopeo 1.20.0-1
slang 2.3.3-4
slides 0.9.0-2
slirp4netns 1.3.3-1
slop 7.7-1
smartmontools 7.5-1
smbclient 2:4.23.0-2
smpeg 2.0.0-2
snapd 2.71-1
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.0.3-2
sof-firmware 2025.05.1-1
solid 6.18.0-1
solid5 5.116.0-1
sonnet 6.18.0-1
sonnet5 5.116.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-15
spandsp 0.0.6-6
spdlog 1.15.3-1
spectacle 1:6.4.5-1
speech-dispatcher 0.12.1-2
speex 1.2.1-2
speexdsp 1.2.1-2
spglib 2.6.0-1
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-llvm-translator 20.1.5-1
spirv-tools 1:1.4.321.0-1
splix 2.0.1-1
spotify-player-full 0.20.6-1
spotify-player-full-debug 0.20.6-1
sqlcipher 4.6.1-1
sqlite 3.50.4-2
sqlitebrowser 3.13.1-2
squashfs-tools 4.7.2-1
squashfuse 0.6.1-1
sratom 0.6.18-1
srt 1.5.4-1
sshfs 3.7.3-3
starship 1.23.0-1
startup-notification 0.12-9
step 25.08.1-1
stoken 0.92-5
sublime-text 4200-1
sudo 1.9.17.p1-1
suil 0.10.20-1
suitesparse 7.11.0-1
svgpart 25.08.1-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
swaybg 1.2.1-1
swayidle 1.8.0-2
swaylock 1.8.3-1
sweeper 25.08.1-1
swig 4.3.1-1
syndication 6.18.0-1
syndication5 5.116.0-1
syntax-highlighting 6.18.0-1
syntax-highlighting5 5.116.0-1
sysfsutils 2.1.1-2
sysstat 12.7.7-1
system-config-printer 1.5.18-5
systemd 258-4
systemd-libs 258-4
systemd-sysvcompat 258-4
systemsettings 6.4.5-1
t1lib 5.1.2-8
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.14-1
telegram-desktop 6.1.3-2
telly-skout 25.08.1-1
terminator 2.1.5-1
terminus-font 4.49.1-8
terraform 1.13.3-1
tesseract 5.5.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-1
texinfo 7.2-1
texlive-bin 2025.2-2
thin-provisioning-tools 1.2.1-1
threadweaver 6.18.0-1
threadweaver5 5.116.0-1
thunar 4.20.5-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunderbird 143.0.1-1
tidy 5.8.0-3
tig 2.6.0-1
time 1.9-6
tinysparql 3.10.0-1
tinyxml 2.6.2-12
tk 8.6.16-1
tldr 3.4.3-1
tlp 1.8.0-1
tmate 2.4.0-5
tmux 3.5_a-1
tokei 12.1.2-2
tokodon 25.08.1-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.10-1
tree-sitter-bash 0.25.0-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-python 0.25.0-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.4.0-1
ttf-hack 3.003-7
ttf-inconsolata 1:3.000-4
ttf-iosevka-nerd 3.4.0-1
ttf-joypixels 9.0.0-1
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-neospleen 1.0.62-1
ttf-neospleen-nerd-font 1.0.62-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-opensans 3.003-1
ttf-terminus-nerd 3.4.0-1
tumbler 4.20.0-3
tuxpaint 0.9.35-1
tuxpaint-debug 0.9.35-1
twolame 0.4.0-4
typescript 5.9.2-1
typescript-language-server 5.0.0-1
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.2-1
ueberzug 18.3.1-4
umbrello 25.08.1-1
unarchiver 1.10.8-5
unibilium 2.1.2-1
unixodbc 2.3.12-3
unrar 1:7.1.10-1
unzip 6.0-23
upower 1.90.10-1
usb_modeswitch 2.6.2-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 018-1
uthash 2.3.0-2
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.30.1-1
vagrant 2.4.9-1
vagrant-debug 2.4.9-1
vapoursynth 72-1
vcdimager 2.0.1-7
ventoy-bin 1.1.07-1
ventoy-bin-debug 1.1.07-1
verdict 1.4.4-1
vi 1:070224-6
via-bin 3.0.0-0
vid.stab 1.1.1-2
vieb-bin 12.4.0-1
vieb-bin-debug 12.4.0-1
vim-runtime 9.1.1734-1
vimb 3.7.0-1
virt-install 5.1.0-1
virt-manager 5.1.0-1
virtualbox 7.2.2-1
virtualbox-host-dkms 7.2.2-1
viu 1.5.1-1
vivaldi-ffmpeg-codecs 140.0.7339.136-2
vlc 3.0.21-29
vlc-cli 3.0.21-29
vlc-gui-qt 3.0.21-29
vlc-luajit-debug 3.0.18-3
vlc-plugin-a52dec 3.0.21-29
vlc-plugin-alsa 3.0.21-29
vlc-plugin-archive 3.0.21-29
vlc-plugin-dav1d 3.0.21-29
vlc-plugin-dbus 3.0.21-29
