lokalize 23.08.3-1
lsb-release 2.0.r53.a86f885-1
lskat 23.08.3-1
lsscsi 0.32-1
lua-language-server 3.7.3-1
lvm2 2.03.22-2
lxappearance-gtk3 0.6.3-4
m4 1.4.19-3
make 4.4.1-2
mako 1.8.0-1
man-db 2.12.0-1
man-pages 6.05.01-2
marble 23.08.3-1
markdownpart 23.08.3-1
marksman 20230725-1
masterpdfeditor 5.9.70-1
masterpdfeditor-free 4.3.89-1
mbox-importer 23.08.3-1
mdadm 4.2-2
meld 3.22.0-2
merkuro 23.08.3-1
micro 2.0.13-1
milou 5.27.9-1
minikube 1.31.2-1
minuet 23.08.3-1
mkinitcpio 37-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
modemmanager 1.22.0-1
mousepad 0.6.1-3
mousetweaks 3.32.0-2
mspinball-bin v1-2
mtools 1:4.0.43-1
mypaint 2.0.1-3
nano 7.2-1
nano-syntax-highlighting 2020.10.10-1
nbd 3.25-1
ndisc6 1.0.7-1
ne 3.3.2-1
neochat 23.08.3-2
neofetch 7.1.0-2
neovide-lunarvim 0.1.0-1
neovim 0.9.4-2
nerd-fonts-noto-sans-mono 2.2.2-1
net-tools 2.10-2
netctl 1.29-1
network-manager-applet 1.34.0-1
networkmanager 1.44.2-3
networkmanager-openvpn 1.10.2-3
nfs-utils 2.6.4-1
nilfs-utils 2.2.9-2
nitrogen 1.6.1-4
nmap 7.94-2
noto-fonts 1:23.12.1-1
noto-fonts-emoji 1:2.042-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numlockx 1.2-5
obs-studio 30.0.0-1
obsidian 1.4.16-1
oh-my-zsh-git r6232.f1dd97bb2-1
okular 23.08.3-1
openconnect 1:9.12-1
opendesktop-fonts 1.4.2-6
openldap 2.6.6-2
openvpn 2.6.8-1
orca 45.1-1
oxygen 5.27.9-1
oxygen-sounds 5.27.9-1
pacman-contrib 1.9.1-1
palapeli 23.08.3-1
paprefs 1.2-1
parley 23.08.3-1
parole 4.18.1-1
partitionmanager 23.08.3-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pcmanfm 1.3.2-1
pcurses 5-5
peek 1.5.1-3
perl 5.38.1-1
picmi 23.08.3-1
picom 10.2-1
pim-data-exporter 23.08.3-1
pim-sieve-editor 23.08.3-1
pkgconf 2.0.3-1
pkgfile 21-2
plasma-browser-integration 5.27.9-1
plasma-desktop 5.27.9-1
plasma-disks 5.27.9-1
plasma-firewall 5.27.9-1
plasma-integration 5.27.9-1
plasma-nm 5.27.9-1
plasma-pa 5.27.9-1
plasma-sdk 5.27.9-1
plasma-systemmonitor 5.27.9-1
plasma-thunderbolt 5.27.9-1
plasma-vault 5.27.9-1
plasma-wayland-session 5.27.9.1-3
plasma-welcome 5.27.9-2
plasma-workspace 5.27.9.1-3
plasma-workspace-wallpapers 5.27.9-1
plasmatube 23.08.3-1
playerctl 2.4.1-3
plymouth-kcm 5.27.9-1
podman 4.7.2-1
podman-compose 1.0.6-3
polkit-gnome 0.105-10
polkit-kde-agent 5.27.9-1
polybar 3.7.1-1
poppler-glib 23.10.0-1
postgresql 15.4-2
powerdevil 5.27.9-2
powerline 2.8.3-2
powerline-fonts 2.8.3-2
poxml 23.08.3-1
ppp 2.5.0-1
pptpclient 1.10.0-3
print-manager 23.08.3-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
pulseaudio-jack 16.1-6
pyright 1.1.338-1
python 3.11.6-1
python-black 23.10.1-1
python-defusedxml 0.7.1-5
python-isort 5.12.0-2
python-jedi 0.19.1-1
python-lsp-server 1.8.0-1
python-pipx 1.2.1-1
python-pynvim 0.4.3-3
python-pyqt5 5.15.10-1
python-reportlab 3.6.12-3
python-rope 1.8.0-1
python-ruff 0.1.6-1
python-virtualenvwrapper 4.8.4-8
qmk 1.1.2-3
qtile 0.23.0-2
qutebrowser 3.0.2-1
r8168 8.052.01-11
rdesktop 1.9.0-2
rebuild-detector 4.4.2-1
reflector 2023-1
reflector-simple 2023-4
reiserfsprogs 3.6.27-4
resp-app 2022.5-1
rio 0.0.28-1
ripgrep 14.0.3-1
ristretto 0.13.1-1
rocs 23.08.3-1
rofi 1.7.5-2
rofi-bluetooth-git r33.9d91c04-2
rofi-calc 2.2.0-1
rofi-emoji 3.2.0-1
rofimoji 6.2.0-1
rp-pppoe 4.0-1
rsync 3.2.7-6
ruff 0.1.6-1
ruff-lsp 0.0.45-1
rustup 1.26.0-5
s-nail 14.9.24-2
scite 5.3.8-1
screenkey 1.5-3
scrot 1.10-1
sddm-kcm 5.27.9-1
sg3_utils 1.47-1
shfmt 3.7.0-1
shotwell 2:0.32.3-1
silicon 0.5.2-1
simple-scan 44.0-2
skanlite 23.08.3-1
skanpage 23.08.3-2
skladnik 0.5.0-1
skopeo 1.14.0-1
slides 0.9.0-2
slop 7.6-3
smartmontools 7.4-1
snapd 2.61-2
sof-firmware 2023.09.2-1
spectacle 23.08.3-1
splix 2.0.0-20
sqlitebrowser 3.12.2-3
sshfs 3.7.3-1
starship 1.16.0-1
step 23.08.3-1
sublime-text 4169-1
sudo 1.9.15.p2-1
svgpart 23.08.3-1
sway 1:1.8.1-4
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock 1.7.2-1
sweeper 23.08.3-1
sysfsutils 2.1.1-1
sysstat 12.7.4-1
system-config-printer 1.5.18-2
systemd-sysvcompat 254.6-2
systemsettings 5.27.9-1
telegram-desktop 4.12.1-1
telly-skout 23.08.3-1
terminator 2.1.3-3
terminus-font 4.49.1-6
texinfo 7.1-2
thunar 4.18.8-1
thunar-archive-plugin 0.5.2-1
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tidy 5.8.0-2
tig 2.5.8-1
tk 8.6.13-2
tldr 3.2.0-1
tlp 1.6.1-1
tmate 2.4.0-3
tmux 3.3_a-7
tokodon 23.08.3-1
tree 2.1.1-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-firacode-nerd 3.1.1-1
ttf-font-awesome 6.5.1-1
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-terminus-nerd 3.1.1-1
tumbler 4.18.1-1
tuxpaint 0.9.31-1
typescript-language-server 4.1.3-1
ueberzug 18.2.2-1
umbrello 23.08.3-1
unarchiver 1.10.7-9
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usb_modeswitch 2.6.1-3
usbutils 017-1
vagrant 2.4.0-1
ventoy-bin 1.0.96-1
vi 1:070224-6
via-bin 3.0.0-0
virt-manager 4.1.0-2
virtualbox 7.0.12-1
visual-studio-code-bin 1.84.2-1
